atga_last_6,atgf_last_6,atsa_last_6,atsf_last_6,atsta_last_6,atstf_last_6,htga_last_6,htgf_last_6,htsa_last_6,htsf_last_6,htsta_last_6,htstf_last_6,FTR
12,9,58,57,27,23,6,8,90,58,35,24,H
11,3,67,36,30,12,12,4,73,59,43,27,D
10,3,83,66,38,27,4,10,50,71,20,36,H
8,5,69,52,39,15,7,8,55,71,22,36,H
10,8,44,71,22,40,4,7,54,68,26,28,A
3,6,41,50,20,20,8,12,67,66,26,34,H
14,9,75,62,28,32,1,12,35,78,14,36,H
6,7,74,57,34,28,8,7,78,51,38,27,H
9,6,62,51,34,30,8,13,49,79,24,47,H
8,11,80,62,39,24,5,5,52,85,28,50,H
7,8,67,54,37,26,5,7,60,48,31,26,H
10,6,74,45,39,22,7,3,84,67,42,30,D
8,7,56,80,28,44,6,3,60,72,23,30,H
4,10,76,74,37,35,8,7,63,68,35,39,H
7,6,62,73,24,33,10,2,76,58,41,27,H
8,14,43,90,21,55,6,7,68,62,38,36,A
5,8,60,46,29,25,7,9,83,62,39,24,A
7,15,46,64,22,40,5,7,69,68,34,32,A
5,5,56,81,28,46,7,4,66,46,32,22,A
12,4,53,49,32,21,6,10,53,61,25,28,A
7,3,79,68,42,30,11,7,82,56,46,32,D
8,8,78,71,42,39,6,8,61,59,34,28,A
6,12,43,55,22,26,9,7,58,81,31,42,H
8,8,63,64,37,41,10,6,65,50,35,27,A
8,7,79,72,46,41,3,9,62,58,29,34,H
9,5,64,47,36,33,8,6,82,71,43,35,H
9,6,68,56,38,30,5,4,82,71,43,35,H
7,8,61,55,31,23,10,7,52,58,31,28,A
7,10,60,62,29,32,8,14,50,83,26,52,H
9,3,64,45,30,21,7,8,55,54,30,26,H
10,8,83,66,43,25,8,9,57,61,35,37,A
9,3,77,53,41,30,6,17,47,62,21,41,H
8,5,64,66,38,31,7,6,62,67,27,30,D
9,8,57,85,34,46,4,6,52,85,26,46,H
8,8,67,76,34,37,8,8,61,66,38,40,H
5,15,43,61,17,38,11,7,69,82,44,46,H
3,8,48,82,25,48,5,7,63,53,34,27,D
6,13,51,90,22,57,7,5,71,52,39,25,A
7,9,60,60,33,29,10,6,76,60,45,33,A
10,6,53,63,30,30,12,3,66,48,37,28,A
7,9,63,60,33,25,6,4,68,44,36,30,D
3,10,63,64,26,33,9,3,66,49,34,23,H
8,6,84,68,44,36,11,9,85,68,45,30,H
4,5,83,78,44,44,7,5,61,72,29,29,A
8,7,55,61,29,27,5,8,63,59,34,32,A
6,4,75,56,40,24,3,10,70,68,32,35,D
9,2,66,58,35,27,11,8,66,70,34,36,H
7,5,61,78,30,35,4,8,55,83,28,52,D
11,10,75,56,38,25,4,12,52,81,21,52,H
7,4,69,54,36,32,6,11,63,60,36,33,H
12,3,70,64,43,35,7,8,73,58,34,21,A
9,13,59,77,40,44,6,15,45,62,21,36,A
4,5,62,52,34,26,2,5,83,76,47,43,H
9,8,71,78,41,44,7,8,55,62,26,28,A
